words;polarity
CAPABLE;1
ABONDANCE;1
ABONDANT;1
ACCLAIÉ;1
ACCOMPLIR;1
ACCOMPLI;1
RÉALISATIONS;1
ACCOMPLISSEMENT;1
ACCOMPLISSEMENT;1
RÉALISATIONS;1
ATTEINDRE;1
RÉALISÉ;1
RÉUSSITE;1
RÉALISATIONS;1
RÉALISATION;1
RÉALISER;1
ADEQUATEMENT;1
AVANCEMENT;1
AVANCES;1
AVANCES;1
AVANCEMENT;1
AVANTAGE;1
AVANTAGE;1
AVANTAGEUX;1
AVANTAGE;1
AVANTAGES;1
ALLIANCE;1
ALLIANCES;1
ASSURER;1
ASSURÉ;1
ASSURER;1
ASSURER;1
ATTEINDRE;1
ATTENTE;1
ATTENTE;1
RÉALISATION;1
ATTESTATIONS;1
ATTAIN;1
ATTRAYANT;1
ATTRACTION;1
BEAU;1
BEAUCOUP;1
BÉNÉFIQUE;1
BÉNÉFICIEL;1
AVANTAGE;1
BÉNÉFICIÉ;1
BÉNÉFICIER;1
BÉNÉFICIÉ;1
BÉNÉFICIER;1
MEILLEUR;1
BOLSTERED;1
BOLSTERING;1
BOLSTERS;1
BOOM;1
EN PLEIN ESSOR;1
RENFORCER;1
BOOSTED;1
PERCÉE;1
BREAKTHROUGHS;1
BRILLANT;1
CHARITABLE;1
COLLABORER;1
COLLABORÉE;1
COLLABORE;1
COLLABORATION;1
COLLABORATION;1
COLLABORATIONS;1
COLLABORATOIRE;1
COLLABORATEUR;1
COLLABORATEURS;1
COMPLIMENT;1
COMPLÉMENTAIRE;1
COMPLIMENTÉ;1
COMPLIMENTATION;1
COMPLIMENTS;1
CONCLUSIF;1
CONCLUSIFEMENT;1
CONDUCTEUR;1
SUR DE SOI;1
CONSTRUCTIF;1
CONSTRUCTIVEMENT;1
COURTOIS;1
CRÉATIF;1
CREATIVEMENT;1
CREATIVITÉ;1
LA CRÉATIVITÉ;1
DÉLICE;1
ENCHANTÉ;1
DÉLICIEUX;1
DÉLICIEUSEMENT;1
DELIGHTING;1
DELIGHTS;1
FIABILITÉ;1
SÛR;1
SOUHAITABLE;1
VOULU;1
MALGRÉ;1
DESTINÉ;1
DILIGENT;1
DILIGENTEMENT;1
DISTINCTION;1
DISTINCTIONS;1
DISTINCTIF;1
DISTINCTIVEMENT;1
DISTINCTIVITÉ;1
RÊVER;1
PLUS FACILE;1
FACILEMENT;1
FACILE;1
EFFICACE;1
EFFICACITES;1
EFFICACITÉ;1
EFFICACE;1
EFFICACEMENT;1
HABILITER;1
EMPLOI;1
EMPLOI;1
EMPOWERS;1
ACTIVER;1
ACTIVÉE;1
RÉALISÉ;1
ENABLING;1
ENCOURAGÉ;1
ENCOURAGEMENT;1
ENCOURAGE;1
ENCOURAGEANT;1
AMÉLIORER;1
RENFORCÉE;1
RENFORCEMENT;1
AMÉLIORATIONS;1
AMÉLIORATIONS;1
AMÉLIORATION;1
PRENDRE PLAISIR;1
AGRÉABLE;1
ENJOYABLEMENT;1
ENJOYÉ;1
ENJOYING;1
JOUISSANCE;1
ENJOYS;1
ENTHOUSIASME;1
ENTHOUSIASTE;1
ENTHOUSTIQUEMENT;1
EXCELLENCE;1
EXCELLENT;1
EXCELLING;1
EXCLORS;1
EXCEPTIONNEL;1
EXCEPTIONNELLEMENT;1
EXCITÉ;1
EXCITATION;1
PASSIONNANT;1
EXCLUSIF;1
EXCLUSIVEMENT;1
EXCLUSIVITÉ;1
EXCLUSIVES;1
EXCLUSIVITÉ;1
EXEMPLAIRE;1
FANTASTIQUE;1
FAVORABLE;1
FAVORABLEMENT;1
FAVORISÉ;1
FAVORIS;1
PRÉFÉRÉ;1
FAVORIS;1
AMICAL;1
GAIN;1
GAINED;1
GAINING;1
GAINS;1
BIEN;1
GÉNIAL;1
PLUS GRAND;1
PLUS GRAND;1
TRÈS;1
GRANDEUR;1
PLUS SÉCURISÉ;1
HEUREUSEMENT;1
BONHEUR;1
CONTENT;1
LE PLUS ÉLEVÉ;1
HONNEUR;1
HONORABLE;1
HONORÉ;1
HONORER;1
HONNEURS;1
IDÉAL;1
IMPRESSIONNER;1
IMPRIMÉ;1
IMPREND;1
IMPRESSION;1
IMPRESSIONNANT;1
IMPRESSIONEMENT;1
AMÉLIORER;1
AMÉLIORÉ;1
AMÉLIORATION;1
AMÉLIORATIONS;1
AMÉLIORATION;1
AMÉLIORATION;1
INCROYABLE;1
INCRÉMENT;1
INFLUENT;1
INFORMATIF;1
INGÉNIOSITÉ;1
INNOVER;1
INNOVÉ;1
INNOVATIONS;1
INNOVANT;1
INNOVATION;1
INNOVATIONS;1
INNOVANT;1
INNOVATEUR;1
INNOVATEURS;1
INSIGHTFUL;1
INSPIRATION;1
INSPIRATOIRE;1
INTÉGRITÉ;1
INVENTER;1
A INVENTÉ;1
INVENIR;1
INVENTION;1
INVENTIONS;1
INVENTIF;1
INGÉNIOSITÉ;1
INVENTEUR;1
INVENTAIRES;1
DIRECTION;1
DE PREMIER PLAN;1
FIDÈLE;1
LUCRATIF;1
MÉRITOIRE;1
OPPORTUNITÉS;1
OPPORTUNITÉ;1
OPTIMISTE;1
SURPASSER;1
OUTPERFORMED;1
OUTPERFORMING;1
OUTPERFORMS;1
EXCEPTIONNEL;1
PARFAIT;1
PARFAIT;1
À LA PERFECTION;1
PERFECTIONS;1
AGRÉABLE;1
AGRÉABLEMENT;1
HEUREUX;1
PLAISIR;1
COPIEUX;1
POPULAIRE;1
POPULARITÉ;1
POSITIF;1
POSITIVEMENT;1
PRÉÉMINENCE;1
PRÉÉMINENT;1
PREMIER;1
PREMIÈRE;1
PRESTIGE;1
PRESTIGIEUX;1
PROACTIF;1
PROACTIVEMENT;1
COMPÉTENCE;1
COMPÉTENT;1
COMPLETEMENT;1
RENTABILITÉ;1
RENTABLE;1
AVEC PROFIT;1
LE PROGRÈS;1
PROGRESSÉ;1
PROGRÈS;1
PROGRESSION;1
PROSPÉRÉ;1
PROSPERING;1
LA PROSPÉRITÉ;1
PROSPÈRE;1
PROSPERS;1
REBOND;1
REBOUNDED;1
REBOUNDING;1
RÉCEPTIF;1
RECONQUÉRIR;1
REGAINED;1
REGAINING;1
RÉSOUDRE;1
RÉVOLUTIONNER;1
REVOLUTIONISÉ;1
REVOLUTIONISE;1
RÉVOLUTION;1
RÉCOMPENSE;1
RÉCOMPENSE;1
RÉCOMPENSE;1
RÉCOMPENSES;1
LA SATISFACTION;1
SATISFAISANT;1
SATISFAISANT;1
SATISFAIT;1
SATISFAITS;1
SATISFAIRE;1
SATISFAISANT;1
LISSE;1
LISSE;1
DOUCEMENT;1
SMOOTS;1
SOLVES;1
RÉSOLUTION;1
SPECTACULAIRE;1
SPECTACULAIRE;1
LA STABILITÉ;1
STABILISATION;1
STABILISATIONS;1
STABILISER;1
STABILISÉ;1
STABILISE;1
STABILISATION;1
STABLE;1
FORCE;1
RENFORCER;1
RENFORCÉ;1
RENFORCEMENT;1
RENFORCEMENT;1
FORCES;1
FORT;1
PLUS FORTE;1
PLUS FORT;1
RÉUSSIR;1
RÉUSSI;1
SUCCENDRE;1
SUCCÈS;1
SUCCÈS;1
SUCCÈS;1
RÉUSSI;1
AVEC SUCCÈS;1
SUPÉRIEUR;1
DÉPASSER;1
SURPASSÉ;1
SURPASSES;1
SURPASSEMENT;1
TRANSPARENCE;1
ÉNORME;1
TREMENDIQUEMENT;1
INCOMPARABLE;1
SANS PRÉCÉDENT;1
NON ASSURÉ;1
AMÉLIORATION;1
MISE À JOUR;1
DE VALEUR;1
POLYVALENT;1
VERSATILITÉ;1
VIBRANCÉE;1
VIBRANT;1
GAGNER;1
GAGNANT;1
GAGNANTS;1
GAGNANT;1
DIGNE;1
ABANDONNER;-1
ABANDONNÉ;-1
ABANDON;-1
ABANDON;-1
ABANDONNEMENTS;-1
ABANDONS;-1
ABDICATED;-1
ABDICATES;-1
ABDICATING;-1
ABDICATION;-1
ABDICATIONS;-1
ABERRANT;-1
ABERRATION;-1
ABERRATIONAL;-1
ABERCATIONS;-1
RÉGLAGE;-1
ANORMAL;-1
ANORMALITES;-1
ANOMALIE;-1
ANORMALEMENT;-1
ABOLIR;-1
ABOLI;-1
ABUIRE;-1
ABOLISSANT;-1
ABROGER;-1
ABROGÉ;-1
ABROGATES;-1
ABROGATION;-1
ABROGATION;-1
ABROGATIONS;-1
BRUSQUE;-1
BRUSQUEMENT;-1
BRUSQUERIE;-1
ABSENCE;-1
ABSENCES;-1
ABSENTÉISME;-1
ABUSER DE;-1
ABUSÉ;-1
LES ABUS;-1
ABUSER;-1
INJURIEUX;-1
ABUSIVEMENT;-1
ABUSION;-1
ACCIDENT;-1
ACCIDENTEL;-1
ACCIDENTELLEMENT;-1
LES ACCIDENTS;-1
ACCUSATION;-1
ACCUSATIONS;-1
ACCUSER;-1
ACCUSÉ;-1
ACCUSES;-1
ACCUSER;-1
ACQUIESCER;-1
ACQUIESCED;-1
ACQUIESCES;-1
ACQUISITION;-1
ACQUITTER;-1
ACQUETS;-1
ACQUITTEMENT;-1
ACQUITATIONS;-1
ACQUIS;-1
ACQUITER;-1
FALSIFIER;-1
ADULTER;-1
ADULTER;-1
FALSIFICATION;-1
ADULTERATIONS;-1
ADVERSARIAL;-1
ADVERSARIES;-1
ADVERSAIRE;-1
NÉGATIF;-1
ADRESSE;-1
ADVERSITÉS;-1
ADVERSITÉ;-1
CONSÉQUENCES;-1
AFTERMATHS;-1
CONTRE;-1
AGGRAVER;-1
AGGRAVÉE;-1
AGGRAVATES;-1
AGGRAVANT;-1
AGGRAVATION;-1
AGGRAVATIONS;-1
ALERTÉ;-1
ALERTE;-1
