x;y
acute;2
acuut;2
is niet;1
hoewel;4
ben niet;1
nauwelijks;3
maar;4
kan niet;1
kan niet;1
bepaalde;2
zeker;2
kolossale;2
kolossaal;2
kon niet;1
diep;2
diep;2
duidelijke;2
zeker;2
niet;1
niet;1
niet doen;1
enorme;2
enorm;2
extreme;2
uiterst;2
flauw;3
paar;3
sterk;2
nauwelijks;3
nog niet;1
nog niet;1
zwaar;2
zware;2
hoge;2
zeer;2
echter;4
enorme;2
enorm;2
enorme;2
enorm;2
niet te overzien;2
onoverzienbaar;2
is niet;1
minste;3
weinig;3
massale;2
massaal;2
zou niet;1
meer;2
veel;2
mag niet;1
noch;1
nooit;1
geen;1
niemand;1
geen;1
noch;1
niet;1
alleen;3
bepaalde;2
met name;2
doel;2
met opzet;2
heel;2
zelden;3
echte;2
echt;2
zelden;3
ernstige;2
serieus;2
ernstige;2
ernstig;2
shan't;1
mag niet;1
belangrijke;2
aanzienlijk;2
iets;3
sparesly;3
sporadisch;3
zeker;2
zeker;2
totaal;2
WAAR;2
echt;2
enorme;2
enorm;2
zeer;2
zeer weinig;3
zeer weinig;3
was niet;1
waren niet;1
zal niet;1
zou niet;1
