Year;Month;News-Based Historical Economic Policy Uncertainty
1900;1;188,8426
1900;2;163,4859
1900;3;224,7651
1900;4;117,4808
1900;5;121,096
1900;6;139,1732
1900;7;138,2354
1900;8;134,008
1900;9;124,9905
1900;10;139,0477
1900;11;128,9671
1900;12;86,68908
1901;1;140,8519
1901;2;110,8828
1901;3;168,2532
1901;4;111,2259
1901;5;116,819
1901;6;100,9994
1901;7;98,80566
1901;8;107,2323
1901;9;112,9476
1901;10;155,8634
1901;11;127,7766
1901;12;151,2054
1902;1;108,3637
1902;2;106,1299
1902;3;74,25962
1902;4;114,6129
1902;5;88,56781
1902;6;72,9398
1902;7;53,04422
1902;8;65,40536
1902;9;70,87402
1902;10;124,6817
1902;11;124,698
1902;12;105,4252
1903;1;86,94469
1903;2;99,67355
1903;3;83,19995
1903;4;93,52351
1903;5;66,98905
1903;6;68,40795
1903;7;69,12033
1903;8;85,9985
1903;9;79,35874
1903;10;74,83612
1903;11;77,12253
1903;12;95,28886
1904;1;105,3877
1904;2;104,7025
1904;3;104,3808
1904;4;79,26329
1904;5;97,04478
1904;6;103,1479
1904;7;140,6941
1904;8;86,00218
1904;9;94,46331
1904;10;94,5176
1904;11;87,17545
1904;12;74,18441
1905;1;104,1329
1905;2;101,7426
1905;3;80,23151
1905;4;69,71798
1905;5;80,8364
1905;6;85,48547
1905;7;84,11413
1905;8;105,7037
1905;9;55,9507
1905;10;82,85233
1905;11;121,1094
1905;12;91,48823
1906;1;66,77466
1906;2;112,8249
1906;3;67,88618
1906;4;76,30952
1906;5;72,4164
1906;6;99,30013
1906;7;84,73521
1906;8;75,0398
1906;9;47,29282
1906;10;69,07479
1906;11;81,47593
1906;12;76,03514
1907;1;34,75067
1907;2;59,06053
1907;3;67,73706
1907;4;58,42075
1907;5;70,50076
1907;6;63,02403
1907;7;80,24904
1907;8;71,27664
1907;9;73,20368
1907;10;57,30847
1907;11;63,27158
1907;12;85,79974
1908;1;86,69262
1908;2;90,20289
1908;3;101,9826
1908;4;91,06293
1908;5;86,62927
1908;6;84,26547
1908;7;46,90307
1908;8;58,37115
1908;9;60,61796
1908;10;96,1124
1908;11;78,26105
1908;12;100,4875
1909;1;135,5595
1909;2;138,0831
1909;3;152,1224
