Year;Month;News_Based_Policy_Uncert_Index
1985;1;103,7488022
1985;2;78,3132019
1985;3;100,7614822
1985;4;84,77886963
1985;5;98,05365753
1985;6;119,5971451
1985;7;111,4151077
1985;8;111,2470093
1985;9;111,1844635
1985;10;93,09910583
1985;11;85,09912872
1985;12;104,1772156
1986;1;144,2664795
1986;2;118,9935379
1986;3;120,1600494
1986;4;102,477356
1986;5;132,3861694
1986;6;115,0522919
1986;7;130,8210602
1986;8;118,302597
1986;9;125,8942184
1986;10;91,82046509
1986;11;98,32894135
1986;12;87,97968292
1987;1;110,4333191
1987;2;76,96607208
1987;3;99,05958557
1987;4;79,53235626
1987;5;87,58505249
1987;6;106,5728531
1987;7;81,38941193
1987;8;52,7901535
1987;9;59,86959457
1987;10;170,3220673
1987;11;183,1025238
1987;12;149,0111389
1988;1;142,8728485
1988;2;102,0328903
1988;3;82,35363007
1988;4;97,85680389
1988;5;99,12745667
1988;6;88,28594971
1988;7;80,83588409
1988;8;94,88969421
1988;9;85,35681152
1988;10;98,25379944
1988;11;102,2340012
1988;12;77,82810211
1989;1;87,42640686
1989;2;51,35064316
1989;3;72,52325439
1989;4;92,37982941
1989;5;83,75286865
1989;6;95,78630829
1989;7;78,2565918
1989;8;83,10930634
1989;9;74,69548035
1989;10;76,44955444
1989;11;105,0474854
1989;12;103,7966843
1990;1;92,32149506
1990;2;110,4462738
1990;3;104,4614105
1990;4;88,44817352
1990;5;97,38793182
1990;6;100,8643417
1990;7;86,28017426
1990;8;139,3226929
1990;9;165,938446
1990;10;137,6742401
1990;11;152,4486084
1990;12;134,0615387
1991;1;204,0105438
1991;2;106,5180588
1991;3;107,9374847
1991;4;93,01464081
1991;5;82,14782715
1991;6;85,91903687
1991;7;80,64899445
1991;8;99,12208557
1991;9;127,2944412
1991;10;108,1209641
1991;11;140,6123657
1991;12;171,0109711
1992;1;116,3648529
1992;2;154,5969238
1992;3;96,82842255
1992;4;89,85423279
1992;5;78,68047333
1992;6;122,2935028
1992;7;119,6131821
1992;8;122,4071198
1992;9;141,4432373
1992;10;161,2542267
1992;11;108,1500702
1992;12;87,8720932
1993;1;83,46498108
1993;2;106,97612
1993;3;109,796814
1993;4;89,65112305
1993;5;133,5057526
1993;6;120,6800613
1993;7;106,5029907
1993;8;115,5761719
1993;9;116,027298
1993;10;78,8225174
1993;11;89,25749969
1993;12;77,27201843
1994;1;82,2928009
1994;2;96,14565277
1994;3;83,22688293
1994;4;106,3544464
1994;5;94,50388336
1994;6;87,46889496
1994;7;75,43205261
1994;8;88,99729919
1994;9;85,29350281
1994;10;61,68622589
1994;11;94,68727875
1994;12;94,76318359
1995;1;122,4063721
1995;2;100,5155563
1995;3;86,48616791
1995;4;65,99556732
1995;5;67,301651
1995;6;75,82338715
1995;7;81,65293884
