word;polarity;Retranslation
at this place;1;à cet endroit
absorb;1;absorber les
acceptable;1;Acceptable
buyer;1;acheteur
acquisition;1;acquisition
Active;1;Actif
current;1;cours
addition;1;ajout
adhesive;1;adhésif
Administration;1;Administration
administrative;1;administrative
Administrator;1;Administrateur
admirer;1;admirateur
eligible;1;admissibles
teenager;1;adolescent
air;1;Air
affable;1;affable
case;1;cas
affectionate;1;affectueux
If so;1;Dans l’affirmative
conservation officer;1;agent de conservation
police officer;1;agent de police
Clip;1;Clip
Nice;1;Nice
farmer;1;agriculteur
sharpen;1;aiguiser
love;1;amour
Elder;1;Aîné
easily;1;facilement
alkaline;1;alcaline
around;1;autour de
allure;1;allure
alternative;1;solution de rechange
Ambassador;1;Ambassadeur
ambitious;1;ambitieux
improvement;1;amélioration
friend;1;ami (e)
analysis;1;analyse
former student;1;ancien élève
angular;1;angulaire
annual;1;annuel
proactive;1;proactive
similar;1;similaires
learner;1;apprenant
Apprentice;1;Apprenti
approval;1;approbation
approver;1;approbateur
approach;1;approche
ownership;1;propriété
approximate;1;approximatif
support;1;prise en charge
ardent;1;ardent
frame;1;cadre
District;1;District de
Quilter;1;Quilter
asylum;1;droit d’asile
aspiration;1;aspiration
consent;1;consentement
hard;1;dur
assistance;1;assistance
Assistant;1;Assistant
clever;1;habile
attentive;1;attentif
attract;1;attirer
friendly attitude;1;attitude amicale
crowd;1;foule
to the Government;1;pour le gouvernement
in the foreground;1;au premier plan
auditory;1;auditif
listener;1;écouteur
also that;1;également que
autonomy;1;autonomie
complacency;1;complaisance
advantageous;1;avantageuse
with firmness;1;avec fermeté
insistently;1;avec insistance
with which;1;avec qui
adventurous;1;aventureux
adventurer;1;aventurier
lawyer;1;avocat
onlooker;1;spectateur
stammering;1;le bégaiement
banner;1;bannière
Banker;1;Banquier
anywhere;1;n’importe où
fooling around;1;couchait
fighter;1;Fighter
thresher;1;batteuse
Good looking;1;Beau
benign;1;bénigne
Ok;1;Bien
benefactor;1;bienfaiteur
Blessed;1;Béni
benevolence;1;bienveillance
jeweler;1;bijoutier
bi-monthly;1;deux fois par mois
biennial;1;Biennale
bisexual;1;bisexuels
Joker;1;Joker
White;1;Blanc
good to eat;1;bon à manger
edge;1;bord
edge of sea;1;bord de mer
Boxer;1;Boxer
brief;1;bref
brilliant;1;brillant
shine;1;Shine
PIN;1;BROCHE
cable;1;câble
cashier;1;caissier
calculation;1;calcul
quiet;1;calme
calm down;1;Du calme
candidate;1;candidat
capital;1;capital
upholstery;1;tapisserie d’ameublement
capsule;1;Capsule
Captivate;1;Captivate
charity;1;organisme de bienfaisance
Cascade;1;Cascade
rider;1;Rider
assignor;1;cédant
pantry;1;garde-manger
ceremonial;1;cérémonial
Champion;1;Champion
Chancellor;1;Chancelier
lucky;1;chanceux
singer;1;chanteur
charade;1;Charade
charm;1;charme
path;1;chemin d’accès
researcher;1;chercheur
Surgeon;1;Chirurgien
riding;1;Circ.
citizen;1;citoyen
civil;1;civile
clairvoyant;1;voyante
key;1;moi ?
Clement;1;Clement
customer;1;client
cognitive;1;cognitive
consistency;1;cohérence
cohesion;1;cohésion
cohesive;1;cohésive
hairdresser: hairdresser;1;salon de coiffure : salon de coiffure
collaborator;1;collaborateur
collect;1;recueillir des
collector;1;Collector
collective;1;collectif
fighter;1;Fighter
comic;1;bande dessinée
Memorial;1;Memorial
beginning;1;début
commentator;1;commentateur
Merchant;1;Marchand
Commission;1;Commission
Dresser;1;Commode
common;1;commune
communicative;1;communicative
Compact;1;Compact
Compensator;1;Compensateur
competence;1;compétence
completely;1;complètement
composer;1;compositeur
design;1;conception
reconcile;1;concilier
Concorde;1;Concorde
concrete;1;béton
conditional;1;conditionnelle
confection;1;confection
denominational;1;confessionnelles
confidential;1;confidentiels
women's fraternity;1;Fraternité des femmes
spouse;1;conjoint
connoisseur;1;connaisseur
connect;1;se connecter
know;1;sais pas
conqueror;1;conquérant
conscientious;1;consciencieux
consecutive;1;consécutives
Advisor;1;Conseiller
consent;1;consentement
conservation;1;conservation
Comforter;1;Consolateur
constitutional;1;constitutionnel
tale;1;Tale
contemporary;1;contemporain
I'm glad;1;Je suis heureux
storyteller;1;conteur
contiguous;1;contigus
continual;1;continue
thwart;1;déjouer les
foreman;1;contremaître
contributor;1;contributeur
convenience;1;plus de commodité
conventional;1;conventionnel
boyfriend;1;petit ami
girlfriend;1;petite amie
Coral;1;Corail
cordial;1;cordial
body;1;corps
correspondent;1;correspondant
tough;1;Tough
coastal;1;côtières
Coast;1;Côte
brave;1;Brave
curvature;1;courbure
Runner;1;Runner
mail;1;courrier
Broker;1;Courtier
customary law;1;droit coutumier
creditor;1;créancier
Creator;1;Créateur
creamy;1;crémeux
grow;1;se développer
Lacrosse;1;Lacrosse
believer;1;croyant
Picker;1;Sélecteur de
cultivate;1;cultiver
curative;1;curative
cure;1;cure
cursor;1;curseur
curriculum;1;programme d’études
skin;1;peau
Bowl;1;Bol
dancer;1;danseuse
of this world;1;de ce monde
boy;1;garçon
of birth;1;de naissance
beginning;1;début
statement;1;Déclaration
declare;1;déclarer
declination;1;déclinaison
relax;1;se détendre
decorative;1;décoratifs
unpack his suitcase;1;déballer sa valise
defensible;1;défendable
defendant;1;défendeur
delegate;1;délégué
delicacy;1;délicatesse
delight;1;Delight
delicious;1;délicieux
remains;1;reste
demonstrator;1;démonstrateur
dental;1;soins dentaires
derogation;1;dérogation
the spouse;1;le conjoint
descendant;1;descendant
Description;1;Description
désopiler;1;désopiler
draw the outline;1;dessiner le contour
holder;1;titulaire de
determine;1;déterminer
differential;1;différentielle
directly;1;directement
Director: Director of photography;1;Directeur : Directeur de la photographie
discipline;1;discipline
discreet;1;discret
distinction;1;distinction
distinctive;1;distinctive
distinguish;1;faire la distinction
entertain;1;divertir
Divine;1;Divine
donor;1;bailleurs de fonds
give its approval to;1;donner son approbation à
donor;1;bailleurs de fonds
sleeper: sleeper;1;dormeur : dormeur
soft;1;mous
endow;1;doter
Dean;1;Dean
the Governor;1;le gouverneur
the me | previous month;1;le me | mois précédent
dual;1;double
duplicate;1;deux exemplaires
fluffy;1;moelleux
gauge;1;jauge
Scout;1;Scout
shine;1;Shine
Bursar;1;Économe
flow;1;flux
foam;1;mousse
building;1;bâtiment
Editor;1;Rédacteur en chef
momentum;1;quantité de mouvement
voter;1;électeur
breeder;1;Eleveur
speech;1;discours
Packer;1;Emballeur
eminent;1;éminent
Packer | Packer;1;Emballeur | Emballeur
use;1;utilisation
