Word;Polarity
ABIDE;1
ABILITY;1
ABLE;1
ABOUND;1
ABSOLVE;1
ABSORBENT;1
ABSORPTION;1
ABUNDANCE;1
ABUNDANT;1
ACCEDE;1
ACCENTUATE;1
ACCEPT;1
ACCEPTABLE;1
ACCEPTANCE;1
ACCESSIBLE;1
ACCESSION;1
ACCLAIM;1
ACCLAMATION;1
ACCOLADE;1
ACCOMMODATE;1
ACCOMMODATION;1
ACCOMPANIMENT;1
ACCOMPLISH;1
ACCOMPLISHMENT;1
ACCORD;1
ACCORD;1
ACCORD;1
ACCORDANCE;1
ACCOUNTABLE;1
ACCRUE;1
ACCURACY;1
ACCURATE;1
ACCURATENESS;1
ACHIEVE;1
ACHIEVEMENT;1
ACKNOWLEDGEMENT;1
ACQUAINT;1
ACQUAINTANCE;1
ACQUIT;1
ACQUITTAL;1
ACTUAL;1
ACTUAL;1
ACTUALITY;1
ADAMANT;1
ADAPTABILITY;1
ADAPTABLE;1
ADAPTATION;1
ADAPTIVE;1
ADEPT;1
ADEPTNESS;1
ADEQUATE;1
ADHERENCE;1
ADHERENT;1
ADHESION;1
ADHESIVE;1
ADJUNCT;1
ADJUST;1
ADJUSTABLE;1
ADJUSTMENT;1
ADMIRABLE;1
ADMIRATION;1
ADMIRE;1
ADMIRER;1
ADMIT;1
ADMIT;1
ADMIT;1
ADMITTANCE;1
ADORABLE;1
ADORE;1
ADORN;1
ADORNMENT;1
ADROIT;1
ADROITLY;1
ADULATION;1
ADULT;1
ADVANCE;1
ADVANCE;1
ADVANCE;1
ADVANCEMENT;1
ADVANTAGE;1
ADVANTAGEOUS;1
ADVENT;1
ADVENTURESOME;1
ADVENTUROUS;1
ADVISABLE;1
ADVOCACY;1
AFFABILITY;1
AFFABLE;1
AFFECTION;1
AFFECTIONATE;1
AFFILIATE;1
AFFILIATION;1
AFFINITY;1
AFFIRM;1
AFFIRMATION;1
AFFIRMATIVE;1
AFFIX;1
AFFLUENCE;1
AFFLUENT;1
AFLOAT;1
AGGREGATE;1
AGGREGATION;1
AGILE;1
AGILITY;1
AGREEABLE;1
AGREEMENT;1
AID;1
AID;1
ALERTNESS;1
ALIGHT;1
ALIVE;1
ALLEGIANCE;1
ALLEVIATE;1
ALLIANCE;1
ALLIED;1
ALLIES;1
ALLOW;1
ALLOWABLE;1
ALLOWANCE;1
ALLURE;1
ALLY;1
ALMIGHTY;1
ALTRUISTIC;1
AMAZEMENT;1
AMAZING;1
AMELIORATE;1
AMENABLE;1
AMENITY;1
AMIABILITY;1
AMIABLE;1
AMICABLE;1
AMNESTY;1
AMOUR;1
AMPLE;1
AMPLIFY;1
AMPLY;1
AMUSE;1
AMUSEMENT;1
ANGEL;1
ANGELIC;1
ANOINT;1
APOCALYPSE;1
APPEAL;1
APPEASE;1
APPEND;1
APPLAUD;1
APPLAUSE;1
APPOINT;1
APPOINT;1
APPRECIABLE;1
APPRECIATE;1
APPRECIATION;1
APPRECIATIVE;1
APPREHEND;1
APPROACH;1
APPROACH;1
APPROPRIATE;1
APPROVAL;1
APPROVE;1
APPROVE;1
APT;1
APTITUDE;1
ARBITER;1
ARBITRATE;1
ARBITRATION;1
ARDENT;1
ARISEN;1
ARISTOCRACY;1
ARISTOCRAT;1
ARISTOCRATIC;1
ARREST;1
ART;1
ART;1
ASCRIBE;1
ASPIRATION;1
ASPIRE;1
ASSENT;1
ASSERTION;1
ASSET;1
ASSIST;1
ASSIST;1
ASSISTANCE;1
ASSISTANT;1
ASSOCIATE;1
ASSOCIATE;1
ASSOCIATE;1
ASSOCIATION;1
ASSOCIATION;1
ASSURANCE;1
ASSURE;1
ASSURE;1
ASSURE;1
ASSUREDLY;1
ASTOUND;1
ASTUTE;1
ATHLETIC;1
ATTACHMENT;1
ATTAIN;1
ATTAINMENT;1
ATTEND;1
ATTENDANCE;1
ATTENTIVE;1
ATTRACT;1
ATTRACTION;1
ATTRACTIVE;1
ATTRACTIVENESS;1
ATTUNE;1
AUDIBLE;1
AUGMENT;1
AUGMENTATION;1
AUSPICIOUS;1
AUTHENTIC;1
AUTHENTICITY;1
AUTHORITATIVE;1
AUTHORITY;1
AUTONOMOUS;1
AVAILABILITY;1
AVID;1
AWARD;1
AWARD;1
AWARE;1
AWARENESS;1
BACK;1
BACK;1
BACKBONE;1
BACKER;1
BACKING;1
BALL;1
BALL;1
BALMY;1
BAPTISM;1
BAPTIZE;1
BARGAIN;1
BASIC;1
BASIC;1
BEACON;1
BEAUTEOUS;1
BEAUTIFY;1
BEAUTY;1
BEFIT;1
BEFITTING;1
BEFRIEND;1
BEHALF;1
BELOVED;1
BENEFACTOR;1
BENEFICENT;1
BENEFICIAL;1
BENEFICIARY;1
BENEFIT;1
BENEFIT;1
BENEFIT;1
BENEVOLENCE;1
BENEVOLENT;1
BENIGN;1
BEQUEATH;1
BEST;1
BESTOW;1
BETROTH;1
BETROTHAL;1
BETTER;1
BETTER;1
BLAMELESS;1
BLESS;1
BLESS;1
BLESS;1
BLISS;1
BLISSFUL;1
BLITHE;1
BLOOM;1
BLOSSOM;1
BOARD;1
BOLDNESS;1
BOLSTER;1
BONNY;1
BONUS;1
BOOM;1
BOOST;1
BOOST;1
BOUNDLESS;1
BOUNTIFUL;1
BRAINY;1
BRAVE;1
BRAVERY;1
BREADWINNER;1
BRIGHT;1
BRIGHTNESS;1
BRILLIANCE;1
BRILLIANT;1
BROTHERHOOD;1
BROTHERLY;1
BUOYANT;1
BUY;1
CALL;1
CALM;1
CALM;1
CALM;1
CALMNESS;1
CANDID;1
CANDOR;1
CAPABILITY;1
CAPABLE;1
CAPITALIZE;1
CAPTIVATION;1
CARE;1
CARE;1
CAREFREE;1
CAREFUL;1
CARESS;1
CARESS;1
CASUAL;1
CEASELESS;1
CELEBRATE;1
CELEBRATION;1
CELEBRITY;1
CEREMONIAL;1
CHAMP;1
CHAMPION;1
CHAMPIONSHIP;1
CHARISMA;1
CHARITABLE;1
CHARITY;1
CHARM;1
CHARM;1
CHASTE;1
CHEER;1
CHEERFUL;1
CHEERY;1
CHERISH;1
CHERISH;1
CHERUB;1
CHIC;1
CHIVALROUS;1
CHIVALRY;1
CHOSEN;1
CHUM;1
CIVIL;1
CIVILITY;1
CIVILIZATION;1
CIVILIZE;1
CIVILIZE;1
CLARIFY;1
CLARITY;1
CLASSIC;1
CLEAN;1
CLEAN;1
CLEANLINESS;1
CLEANSE;1
CLEAR;1
CLEAR;1
CLEAR;1
