Word;Polarity;Retranslation
SE CONFORMER AUX;1;CONFORM TO THE
CAPACITÉ;1;CAPACITY
EN MESURE;1;ABLE
ABONDENT;1;ABOUND
ABSOUDRE;1;ABSOLVE
ABSORBANT;1;ABSORBENT
ABSORPTION;1;ABSORPTION
ABONDANCE;1;ABUNDANCE
ABONDANTE;1;ABUNDANT
ADHÉRER;1;JOIN
ACCENTUER;1;ACCENTUATE
ACCEPTER;1;ACCEPT
Acceptable;1;Acceptable
ACCEPTATION;1;ACCEPTANCE
ACCESSIBLE;1;ACCESSIBLE
ADHÉSION;1;MEMBERSHIP
ACCLAIM;1;ACCLAIM
ACCLAMATION;1;ACCLAMATION
ACCOLADE;1;BRACE
ACCUEILLIR;1;WELCOME
HÉBERGEMENT;1;ACCOMMODATION
ACCOMPAGNEMENT;1;SUPPORT
ACCOMPLIR;1;ACCOMPLISH
ACCOMPLISSEMENT;1;FULFILLMENT
ACCORD DE;1;AGREEMENT OF
ACCORD DE;1;AGREEMENT OF
ACCORD DE;1;AGREEMENT OF
CONFORMÉMENT;1;IN ACCORDANCE WITH
RESPONSABLE;1;MANAGER
S’ACCUMULENT;1;ACCUMULATE
PRÉCISION;1;PRECISION
PRÉCIS;1;PRECISE
EXACTITUDE;1;ACCURACY
RÉALISER;1;ACHIEVE
RÉALISATION;1;REALIZATION
ACCUSÉ DE RÉCEPTION;1;ACKNOWLEDGEMENT OF RECEIPT
ACQUAINT;1;ACQUAINT
CONNAISSANCE;1;KNOWLEDGE
ACQUIT;1;AUTREFOIS ACQUIT
ACQUITTEMENT;1;ACQUITTAL
RÉELLES;1;REAL
RÉELLES;1;REAL
ACTUALITÉ;1;NEWS
ADAMANT;1;ADAMANT
CAPACITÉ D’ADAPTATION;1;ADAPTABILITY
ADAPTABLE;1;ADAPTABLE
ADAPTATION;1;ADAPTATION
ADAPTATIVE;1;ADAPTIVE
ADEPT;1;ADEPT
ADEPTNESS;1;ADEPTNESS
ADÉQUATE;1;ADEQUATE
ADHÉRENCE;1;GRIP
ADHERENT;1;MEMBER
ADHÉRENCE;1;GRIP
ADHÉSIF;1;ADHESIVE
AUXILIAIRE;1;AUXILIARY
AJUSTER;1;ADJUST
RÉGLABLE;1;ADJUSTABLE
RÉGLAGE;1;SETTING
ADMIRABLE;1;ADMIRABLE
ADMIRATION;1;ADMIRATION
ADMIRER;1;ADMIRE
ADMIRATEUR;1;ADMIRER
ADMETTRE;1;ADMIT
ADMETTRE;1;ADMIT
ADMETTRE;1;ADMIT
ADMITTANCE;1;ADMITTANCE
ADORABLE;1;ADORABLE
ADORE;1;LOVE
ORNENT;1;ADORN
PARURE;1;ADORNMENT
ADROIT;1;ADROIT
ADROITLY;1;ADROITLY
ADULATION;1;ADULATION
ADULTE;1;ADULT
ADVANCE;1;ADVANCE
ADVANCE;1;ADVANCE
ADVANCE;1;ADVANCE
PROMOTION;1;PROMOTION
AVANTAGE;1;ADVANTAGE
AVANTAGEUSE;1;ADVANTAGEOUS
ADVENT;1;ADVENT
AVENTUREUX;1;ADVENTUROUS
