"Word";"Polarity"
"ABLE";1
"ABUNDANCE";1
"ABUNDANT";1
"ACCLAIMED";1
"ACCOMPLISH";1
"ACCOMPLISHED";1
"ACCOMPLISHES";1
"ACCOMPLISHING";1
"ACCOMPLISHMENT";1
"ACCOMPLISHMENTS";1
"ACHIEVE";1
"ACHIEVED";1
"ACHIEVEMENT";1
"ACHIEVEMENTS";1
"ACHIEVES";1
"ACHIEVING";1
"ADEQUATELY";1
"ADVANCEMENT";1
"ADVANCEMENTS";1
"ADVANCES";1
"ADVANCING";1
"ADVANTAGE";1
"ADVANTAGED";1
"ADVANTAGEOUS";1
"ADVANTAGEOUSLY";1
"ADVANTAGES";1
"ALLIANCE";1
"ALLIANCES";1
"ASSURE";1
"ASSURED";1
"ASSURES";1
"ASSURING";1
"ATTAIN";1
"ATTAINED";1
"ATTAINING";1
"ATTAINMENT";1
"ATTAINMENTS";1
"ATTAINS";1
"ATTRACTIVE";1
"ATTRACTIVENESS";1
"BEAUTIFUL";1
"BEAUTIFULLY";1
"BENEFICIAL";1
"BENEFICIALLY";1
"BENEFIT";1
"BENEFITED";1
"BENEFITING";1
"BENEFITTED";1
"BENEFITTING";1
"BEST";1
"BETTER";1
"BOLSTERED";1
"BOLSTERING";1
"BOLSTERS";1
"BOOM";1
"BOOMING";1
"BOOST";1
"BOOSTED";1
"BREAKTHROUGH";1
"BREAKTHROUGHS";1
"BRILLIANT";1
"CHARITABLE";1
"COLLABORATE";1
"COLLABORATED";1
"COLLABORATES";1
"COLLABORATING";1
"COLLABORATION";1
"COLLABORATIONS";1
"COLLABORATIVE";1
"COLLABORATOR";1
"COLLABORATORS";1
"COMPLIMENT";1
"COMPLIMENTARY";1
"COMPLIMENTED";1
"COMPLIMENTING";1
"COMPLIMENTS";1
"CONCLUSIVE";1
"CONCLUSIVELY";1
"CONDUCIVE";1
"CONFIDENT";1
"CONSTRUCTIVE";1
"CONSTRUCTIVELY";1
"COURTEOUS";1
"CREATIVE";1
"CREATIVELY";1
"CREATIVENESS";1
"CREATIVITY";1
"DELIGHT";1
"DELIGHTED";1
"DELIGHTFUL";1
