Word;Polarity;Retranslation
EN MESURE;1;ABLE
ABONDANCE;1;ABUNDANCE
ABONDANTE;1;ABUNDANT
ACCLAMÉ;1;ACCLAIMED
ACCOMPLIR;1;ACCOMPLISH
ACCOMPLIE;1;ACCOMPLISHED
ACCOMPLIT;1;DOES
ACCOMPLIR;1;ACCOMPLISH
ACCOMPLISSEMENT;1;FULFILLMENT
RÉALISATIONS;1;ACHIEVEMENTS
RÉALISER;1;ACHIEVE
ATTEINT;1;REACHED
RÉALISATION;1;REALIZATION
RÉALISATIONS;1;ACHIEVEMENTS
PERMET D’OBTENIR;1;LETS GET
RÉALISATION DE;1;REALIZATION OF
ADÉQUATEMENT;1;ADEQUATELY
PROMOTION;1;PROMOTION
AVANCEMENTS;1;ADVANCEMENTS
AVANCES;1;ADVANCES
FAIRE PROGRESSER;1;ADVANCE
AVANTAGE;1;ADVANTAGE
FAVORISÉS;1;FAVORED
AVANTAGEUSE;1;ADVANTAGEOUS
AVANTAGEUSEMENT;1;ADVANTAGEOUSLY
AVANTAGES;1;BENEFITS
ALLIANCE;1;ALLIANCE
ALLIANCES;1;ALLIANCES
ASSURER;1;ENSURE
ASSURÉ;1;INSURED
ASSURE;1;ENSURES
ASSURANT;1;ENSURING
ATTEINDRE;1;REACH
ATTEINT;1;REACHED
RÉALISATION DE;1;REALIZATION OF
RÉALISATION;1;REALIZATION
RÉALISATIONS;1;ACHIEVEMENTS
ATTEINT;1;REACHED
ATTRAYANT;1;ATTRACTIVE
ATTRACTIVITÉ;1;ATTRACTIVENESS
BELLE;1;Good looking
MAGNIFIQUEMENT;1;BEAUTIFULLY
BÉNÉFIQUE;1;BENEFICIAL
UN DROIT DE BÉNÉFICIAIRE;1;A BENEFICIAL INTEREST
AVANTAGE;1;ADVANTAGE
ONT BÉNÉFICIÉ;1;BENEFITED
BÉNÉFICIANT;1;BENEFITING
A BÉNÉFICIÉ;1;BENEFITED A
BÉNÉFICIANT;1;BENEFITING
MEILLEUR;1;BEST
MIEUX;1;BEST
RENFORCÉ;1;STRENGTHENED
LE RENFORCEMENT;1;STRENGTHENING
TRAVERSINS;1;BOLSTERS
BOOM;1;BOOM
EN PLEIN ESSOR;1;BOOMING
COUP DE POUCE;1;BOOST
BOOSTÉ;1;BOOST
PERCÉE;1;BREAKTHROUGH
PERCÉES;1;BREAKTHROUGHS
BRILLANT;1;BRILLIANT
BIENFAISANCE;1;CHARITY
COLLABORER;1;COLLABORATE
A COLLABORÉ;1;COLLABORATED
COLLABORE;1;WORKS
EN COLLABORATION;1;IN COLLABORATION
COLLABORATION;1;COLLABORATION
COLLABORATIONS;1;COLLABORATIONS
COLLABORATIVE;1;COLLABORATIVE
COLLABORATEUR;1;COLLABORATOR
COLLABORATEURS;1;EMPLOYEES
COMPLIMENT;1;COMPLIMENT
GRATUIT;1;FREE
COMPLIMENTÉ;1;COMPLIMENTED
COMPLIMENTANT;1;COMPLIMENTING
COMPLIMENTS;1;COMPLIMENTS
CONCLUANTE;1;CONCLUSIVE
AVEC CERTITUDE;1;WITH CERTAINTY
PROPICE;1;CONDUCIVE
CONFIANT;1;CONFIDENT
CONSTRUCTIVE;1;CONSTRUCTIVE
MANIÈRE CONSTRUCTIVE;1;CONSTRUCTIVELY
COURTOIS;1;COURTEOUS
CRÉATIVE;1;CREATIVE
FAÇON CRÉATIVE;1;HOW CREATIVE
CRÉATIVITÉ;1;CREATIVITY
CRÉATIVITÉ;1;CREATIVITY
DELIGHT;1;DELIGHT
LE PLAISIR;1;THE PLEASURE
DÉLICIEUX;1;DELICIOUS
