Word;Negative;Positive
AARDVARK;0;0
AARDVARKS;0;0
ABACI;0;0
ABACK;0;0
ABACUS;0;0
ABACUSES;0;0
ABAFT;0;0
ABALONE;0;0
ABALONES;0;0
ABANDON;2009;0
ABANDONED;2009;0
ABANDONING;2009;0
ABANDONMENT;2009;0
ABANDONMENTS;2009;0
ABANDONS;2009;0
ABASE;0;0
ABASED;0;0
ABASEMENT;0;0
ABASEMENTS;0;0
ABASES;0;0
ABASH;0;0
ABASHED;0;0
ABASHEDLY;0;0
ABASHES;0;0
ABASHING;0;0
ABASHMENT;0;0
ABASHMENTS;0;0
ABASING;0;0
ABATE;0;0
ABATED;0;0
ABATEMENT;0;0
ABATEMENTS;0;0
ABATES;0;0
ABATING;0;0
ABATTOIR;0;0
ABATTOIRS;0;0
ABBE;0;0
ABBES;0;0
ABBESS;0;0
ABBESSES;0;0
ABBEY;0;0
ABBEYS;0;0
ABBOT;0;0
ABBOTS;0;0
ABBREVIATE;0;0
ABBREVIATED;0;0
ABBREVIATES;0;0
ABBREVIATING;0;0
ABBREVIATION;0;0
ABBREVIATIONS;0;0
ABDICATE;0;0
ABDICATED;2009;0
ABDICATES;2009;0
ABDICATING;2009;0
ABDICATION;2009;0
ABDICATIONS;2009;0
ABDOMEN;0;0
ABDOMENS;0;0
ABDOMINAL;0;0
ABDOMINALS;0;0
ABDUCT;0;0
ABDUCTED;0;0
ABDUCTING;0;0
ABDUCTION;0;0
ABDUCTIONS;0;0
ABDUCTOR;0;0
ABDUCTORS;0;0
ABDUCTS;0;0
ABEAM;0;0
ABED;0;0
ABERRANT;2009;0
ABERRATION;2009;0
ABERRATIONAL;2009;0
ABERRATIONS;2009;0
ABET;0;0
ABETS;0;0
ABETTED;0;0
ABETTER;0;0
ABETTERS;0;0
ABETTING;2009;0
ABETTOR;0;0
ABETTORS;0;0
ABEYANCE;0;0
ABEYANCES;0;0
ABHOR;0;0
ABHORRED;0;0
ABHORRENCE;0;0
ABHORRENCES;0;0
ABHORRENT;0;0
ABHORRENTLY;0;0
ABHORRING;0;0
ABHORS;0;0
ABIDANCE;0;0
ABIDANCES;0;0
ABIDE;0;0
ABIDED;0;0
ABIDES;0;0
ABIDING;0;0
ABIDINGLY;0;0
ABILITIES;0;0
ABILITY;0;0
ABJECT;0;0
ABJECTION;0;0
ABJECTIONS;0;0
ABJECTLY;0;0
ABJECTNESS;0;0
ABJECTNESSES;0;0
ABJURATION;0;0
ABJURATIONS;0;0
ABJURATORY;0;0
ABJURE;0;0
ABJURED;0;0
ABJURER;0;0
ABJURERS;0;0
ABJURES;0;0
ABJURING;0;0
ABLATE;0;0
ABLATED;0;0
ABLATES;0;0
ABLATING;0;0
ABLATION;0;0
ABLATIONS;0;0
ABLATIVE;0;0
ABLATIVES;0;0
ABLAZE;0;0
ABLE;0;2009
ABLER;0;0
ABLEST;0;0
ABLOOM;0;0
ABLUTION;0;0
ABLUTIONS;0;0
ABLY;0;0
ABNEGATE;0;0
ABNEGATED;0;0
ABNEGATES;0;0
ABNEGATING;0;0
ABNEGATION;0;0
ABNEGATIONS;0;0
ABNORMAL;2009;0
ABNORMALITIES;2009;0
ABNORMALITY;2009;0
ABNORMALLY;2009;0
ABOARD;0;0
ABODE;0;0
ABODES;0;0
ABOLISH;2009;0
ABOLISHED;2009;0
ABOLISHES;2009;0
ABOLISHING;2009;0
ABOLISHMENT;0;0
ABOLITION;0;0
ABOLITIONISM;0;0
ABOLITIONISMS;0;0
ABOLITIONIST;0;0
